ticker,adv_usd_M,daily_vol,impact_bps,flat_tc_bps,total_tc_bps
KO,1537.8,0.938,2.97,15,17.97
PG,1785.8,1.041,3.29,15,18.29
MCD,1139.0,1.053,3.33,15,18.33
TJX,828.9,1.071,3.39,15,18.39
DUK,597.1,1.08,3.42,15,18.42
JNJ,2176.8,1.082,3.42,15,18.42
LIN,1307.8,1.092,3.45,15,18.45
CME,679.6,1.109,3.51,15,18.51
SO,659.3,1.118,3.54,15,18.54
MMC,632.9,1.128,3.57,15,18.57
CL,653.8,1.134,3.58,15,18.58
MO,667.7,1.181,3.74,15,18.74
PEP,1506.3,1.187,3.75,15,18.75
V,2701.6,1.204,3.81,15,18.81
CB,559.6,1.207,3.82,15,18.82
MA,2153.3,1.219,3.85,15,18.85
MDLZ,674.2,1.231,3.89,15,18.89
COST,2073.9,1.236,3.91,15,18.91
ITW,462.5,1.245,3.94,15,18.94
WMT,3523.7,1.287,4.07,15,19.07
HON,983.6,1.3,4.11,15,19.11
SYK,796.9,1.303,4.12,15,19.12
ABT,1200.9,1.313,4.15,15,19.15
AON,596.1,1.338,4.23,15,19.23
HD,1489.4,1.342,4.25,15,19.25
PM,1038.7,1.364,4.31,15,19.31
UNP,1012.1,1.375,4.35,15,19.35
CSCO,2234.1,1.39,4.39,15,19.39
CVX,2013.4,1.403,4.44,15,19.44
SPGI,1658.7,1.433,4.53,15,19.53
XOM,3231.1,1.439,4.55,15,19.55
LOW,736.0,1.462,4.62,15,19.62
BSX,1553.8,1.46,4.62,15,19.62
BLK,825.3,1.464,4.63,15,19.63
NOC,645.9,1.471,4.65,15,19.65
RTX,1327.5,1.477,4.67,15,19.67
JPM,3184.3,1.486,4.7,15,19.7
MSFT,18764.6,1.485,4.7,15,19.7
ABBV,1578.6,1.492,4.72,15,19.72
MCO,781.7,1.503,4.75,15,19.75
MRK,1531.6,1.513,4.78,15,19.78
NSC,381.5,1.517,4.8,15,19.8
GILD,1138.0,1.573,4.98,15,19.98
PGR,731.1,1.603,5.07,15,20.07
TMO,1406.5,1.612,5.1,15,20.1
AMGN,1067.9,1.615,5.11,15,20.11
AAPL,14318.8,1.621,5.13,15,20.13
BAC,2074.1,1.626,5.14,15,20.14
EQIX,648.7,1.643,5.2,15,20.2
PLD,432.3,1.643,5.2,15,20.2
ZTS,596.1,1.647,5.21,15,20.21
BMY,760.0,1.653,5.23,15,20.23
IBM,1902.1,1.664,5.26,15,20.26
ACN,1476.8,1.676,5.3,15,20.3
EOG,601.0,1.683,5.32,15,20.32
DHR,1032.7,1.687,5.33,15,20.33
NEE,818.2,1.684,5.33,15,20.33
EMR,667.8,1.703,5.38,15,20.38
APD,424.0,1.7,5.38,15,20.38
DE,1211.3,1.701,5.38,15,20.38
AXP,1182.7,1.712,5.41,15,20.41
GS,2157.3,1.738,5.5,15,20.5
DIS,1454.3,1.748,5.53,15,20.53
MS,1345.1,1.775,5.61,15,20.61
VRTX,696.1,1.781,5.63,15,20.63
COP,857.4,1.8,5.69,15,20.69
C,1555.0,1.812,5.73,15,20.73
WFC,1349.5,1.82,5.75,15,20.75
GE,1690.4,1.818,5.75,15,20.75
GOOGL,13267.7,1.834,5.8,15,20.8
CI,521.3,1.873,5.92,15,20.92
CAT,2399.3,1.874,5.93,15,20.93
FDX,696.3,1.881,5.95,15,20.95
MMM,674.9,1.907,6.03,15,21.03
REGN,587.5,1.906,6.03,15,21.03
ISRG,1012.8,1.925,6.09,15,21.09
INTU,1945.9,1.933,6.11,15,21.11
AMZN,13653.1,1.968,6.22,15,21.22
ETN,1183.4,1.981,6.26,15,21.26
USB,608.2,1.989,6.29,15,21.29
TXN,2048.4,2.019,6.39,15,21.39
SBUX,904.9,2.033,6.43,15,21.43
ADI,1481.1,2.063,6.52,15,21.52
CRM,2697.2,2.095,6.62,15,21.62
NFLX,3315.4,2.099,6.64,15,21.64
ADBE,1641.5,2.101,6.65,15,21.65
TGT,688.4,2.167,6.85,15,21.85
LLY,3785.7,2.185,6.91,15,21.91
UNH,3585.8,2.263,7.16,15,22.16
QCOM,1632.6,2.267,7.17,15,22.17
META,11380.8,2.275,7.2,15,22.2
HUM,616.2,2.556,8.08,15,23.08
AMAT,2868.7,2.621,8.29,15,23.29
ORCL,4754.0,2.852,9.02,15,24.02
AVGO,7770.5,3.014,9.53,15,24.53
NVDA,31423.6,3.064,9.69,15,24.69
AMD,8647.3,3.336,10.55,15,25.55
TSLA,24625.6,3.685,11.65,15,26.65
